user_id,impression_id,variant,clicked,timestamp
u0001,imp0000001,A,0,2024-01-07 18:00:00
u0001,imp0000002,A,0,2024-01-05 12:00:00
u0001,imp0000003,A,0,2024-01-02 07:00:00
u0001,imp0000004,A,0,2024-01-07 09:00:00
u0001,imp0000005,A,0,2024-01-02 13:00:00
u0001,imp0000006,A,0,2024-01-03 03:00:00
u0001,imp0000007,A,0,2024-01-02 10:00:00
u0001,imp0000008,A,0,2024-01-05 13:00:00
u0001,imp0000009,A,0,2024-01-02 06:00:00
u0001,imp0000010,A,0,2024-01-04 15:00:00
u0001,imp0000011,A,0,2024-01-03 02:00:00
u0001,imp0000012,A,0,2024-01-01 20:00:00
u0001,imp0000013,A,0,2024-01-03 04:00:00
u0001,imp0000014,A,0,2024-01-04 09:00:00
u0001,imp0000015,A,0,2024-01-04 06:00:00
u0001,imp0000016,A,0,2024-01-05 09:00:00
u0001,imp0000017,A,0,2024-01-04 09:00:00
u0001,imp0000018,A,0,2024-01-07 12:00:00
u0001,imp0000019,A,0,2024-01-01 22:00:00
u0001,imp0000020,A,0,2024-01-01 14:00:00
u0001,imp0000021,A,0,2024-01-01 00:00:00
u0001,imp0000022,A,0,2024-01-04 02:00:00
u0001,imp0000023,A,0,2024-01-06 18:00:00
u0001,imp0000024,A,0,2024-01-04 03:00:00
u0001,imp0000025,A,0,2024-01-04 21:00:00
u0001,imp0000026,A,0,2024-01-04 23:00:00
u0001,imp0000027,A,0,2024-01-04 22:00:00
u0001,imp0000028,A,0,2024-01-02 19:00:00
u0001,imp0000029,A,0,2024-01-06 07:00:00
u0001,imp0000030,A,0,2024-01-01 22:00:00
u0001,imp0000031,A,0,2024-01-03 06:00:00
u0001,imp0000032,A,0,2024-01-03 14:00:00
u0001,imp0000033,A,0,2024-01-03 11:00:00
u0001,imp0000034,A,0,2024-01-04 07:00:00
u0001,imp0000035,A,0,2024-01-04 22:00:00
u0001,imp0000036,A,0,2024-01-05 07:00:00
u0001,imp0000037,A,0,2024-01-04 16:00:00
u0001,imp0000038,A,0,2024-01-01 09:00:00
u0001,imp0000039,A,0,2024-01-04 18:00:00
u0001,imp0000040,A,0,2024-01-06 02:00:00
u0001,imp0000041,A,0,2024-01-04 17:00:00
u0001,imp0000042,A,0,2024-01-04 13:00:00
u0001,imp0000043,A,1,2024-01-04 14:00:00
u0001,imp0000044,A,0,2024-01-03 02:00:00
u0001,imp0000045,A,0,2024-01-07 23:00:00
u0001,imp0000046,A,0,2024-01-01 14:00:00
u0001,imp0000047,A,1,2024-01-07 13:00:00
u0001,imp0000048,A,0,2024-01-02 15:00:00
u0001,imp0000049,A,0,2024-01-04 17:00:00
u0001,imp0000050,A,0,2024-01-04 12:00:00
u0001,imp0000051,A,0,2024-01-03 16:00:00
u0001,imp0000052,A,0,2024-01-06 08:00:00
u0001,imp0000053,A,0,2024-01-06 20:00:00
u0001,imp0000054,A,0,2024-01-05 08:00:00
u0001,imp0000055,A,0,2024-01-06 22:00:00
u0001,imp0000056,A,0,2024-01-07 09:00:00
u0001,imp0000057,A,0,2024-01-02 08:00:00
u0001,imp0000058,A,0,2024-01-03 10:00:00
u0001,imp0000059,A,0,2024-01-05 06:00:00
u0001,imp0000060,A,0,2024-01-04 07:00:00
u0001,imp0000061,A,0,2024-01-03 17:00:00
u0001,imp0000062,A,0,2024-01-05 11:00:00
u0001,imp0000063,A,0,2024-01-07 05:00:00
u0001,imp0000064,A,0,2024-01-04 07:00:00
u0001,imp0000065,A,1,2024-01-02 10:00:00
u0001,imp0000066,A,0,2024-01-06 10:00:00
u0001,imp0000067,A,0,2024-01-04 22:00:00
u0001,imp0000068,A,0,2024-01-03 20:00:00
u0001,imp0000069,A,0,2024-01-05 16:00:00
u0001,imp0000070,A,0,2024-01-02 06:00:00
u0001,imp0000071,A,0,2024-01-04 09:00:00
u0001,imp0000072,A,0,2024-01-03 05:00:00
u0001,imp0000073,A,0,2024-01-02 17:00:00
u0001,imp0000074,A,0,2024-01-04 13:00:00
u0001,imp0000075,A,0,2024-01-03 05:00:00
u0001,imp0000076,A,0,2024-01-01 10:00:00
u0001,imp0000077,A,0,2024-01-05 20:00:00
u0001,imp0000078,A,0,2024-01-03 09:00:00
u0001,imp0000079,A,0,2024-01-04 20:00:00
u0001,imp0000080,A,1,2024-01-05 07:00:00
u0001,imp0000081,A,0,2024-01-05 16:00:00
u0001,imp0000082,A,0,2024-01-01 14:00:00
u0001,imp0000083,A,0,2024-01-06 15:00:00
u0001,imp0000084,A,0,2024-01-04 15:00:00
u0001,imp0000085,A,0,2024-01-02 11:00:00
u0001,imp0000086,A,0,2024-01-03 03:00:00
u0001,imp0000087,A,0,2024-01-03 08:00:00
u0002,imp0000088,A,0,2024-01-06 09:00:00
u0002,imp0000089,A,0,2024-01-01 10:00:00
u0002,imp0000090,A,0,2024-01-04 03:00:00
u0002,imp0000091,A,0,2024-01-04 20:00:00
u0002,imp0000092,A,0,2024-01-06 21:00:00
u0002,imp0000093,A,0,2024-01-05 02:00:00
u0002,imp0000094,A,0,2024-01-05 05:00:00
u0002,imp0000095,A,0,2024-01-03 22:00:00
u0002,imp0000096,A,0,2024-01-06 09:00:00
u0002,imp0000097,A,0,2024-01-06 09:00:00
u0002,imp0000098,A,1,2024-01-06 15:00:00
u0002,imp0000099,A,0,2024-01-01 06:00:00
u0002,imp0000100,A,0,2024-01-03 23:00:00
u0002,imp0000101,A,0,2024-01-02 22:00:00
u0002,imp0000102,A,0,2024-01-06 07:00:00
u0002,imp0000103,A,0,2024-01-02 09:00:00
u0002,imp0000104,A,0,2024-01-01 02:00:00
u0002,imp0000105,A,0,2024-01-03 08:00:00
u0002,imp0000106,A,0,2024-01-07 07:00:00
u0002,imp0000107,A,0,2024-01-06 11:00:00
u0002,imp0000108,A,0,2024-01-03 00:00:00
u0002,imp0000109,A,0,2024-01-04 09:00:00
u0002,imp0000110,A,0,2024-01-06 13:00:00
u0002,imp0000111,A,0,2024-01-04 19:00:00
u0002,imp0000112,A,0,2024-01-07 11:00:00
u0002,imp0000113,A,0,2024-01-02 11:00:00
u0002,imp0000114,A,0,2024-01-02 15:00:00
u0002,imp0000115,A,1,2024-01-06 08:00:00
u0002,imp0000116,A,0,2024-01-05 20:00:00
u0002,imp0000117,A,0,2024-01-07 09:00:00
u0002,imp0000118,A,0,2024-01-05 11:00:00
u0002,imp0000119,A,0,2024-01-07 15:00:00
u0002,imp0000120,A,0,2024-01-01 05:00:00
u0002,imp0000121,A,1,2024-01-06 09:00:00
u0002,imp0000122,A,0,2024-01-04 12:00:00
u0002,imp0000123,A,1,2024-01-02 10:00:00
u0002,imp0000124,A,0,2024-01-02 13:00:00
u0002,imp0000125,A,0,2024-01-06 22:00:00
u0002,imp0000126,A,0,2024-01-05 03:00:00
u0002,imp0000127,A,0,2024-01-02 20:00:00
u0002,imp0000128,A,0,2024-01-05 21:00:00
u0002,imp0000129,A,0,2024-01-02 04:00:00
u0002,imp0000130,A,0,2024-01-04 11:00:00
u0002,imp0000131,A,0,2024-01-05 16:00:00
u0002,imp0000132,A,0,2024-01-07 16:00:00
u0002,imp0000133,A,0,2024-01-07 14:00:00
u0002,imp0000134,A,0,2024-01-07 08:00:00
u0002,imp0000135,A,0,2024-01-02 13:00:00
u0002,imp0000136,A,0,2024-01-07 22:00:00
u0002,imp0000137,A,0,2024-01-04 01:00:00
u0002,imp0000138,A,0,2024-01-05 21:00:00
u0002,imp0000139,A,0,2024-01-01 10:00:00
u0002,imp0000140,A,0,2024-01-02 17:00:00
u0002,imp0000141,A,0,2024-01-03 03:00:00
u0002,imp0000142,A,0,2024-01-06 16:00:00
